# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;
# Aus methodischen Gründen weichen in einigen Ländern die Summen der Parteien vom amtlichen Endergebnis geringfügig ab.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;Sonstige;dar. FREIE WÄHLER;dar. dieBasis
SH;1;Summe;Summe;1776145;16132;465975;530301;113641;167191;55523;315633;;111749;27450;27446
SH;1;Summe;1997 – 2003;132362;1042;17331;26156;5212;24296;8530;38850;;10944;2119;1419
SH;1;Summe;1987 – 1996;196451;1207;29852;47125;18145;26256;10505;45224;;18137;3971;3416
SH;1;Summe;1977 – 1986;228536;1198;50644;59735;21181;21683;8596;43644;;21855;5946;5596
SH;1;Summe;1962 – 1976;501135;3313;127122;143532;38269;46261;15354;89966;;37319;9676;10470
SH;1;Summe;1952 – 1961;306884;2787;76765;107721;18163;21959;7870;56552;;15066;3882;4431
SH;1;Summe;1951 und früher;410777;6584;164261;146032;12672;26735;4668;41396;;8428;1856;2115
SH;1;m;Summe;855889;8095;228312;247431;70684;87016;26554;134598;;53200;12897;10879
SH;1;m;1997 – 2003;66529;694;9478;12901;3319;14435;3857;16164;;5681;863;554
SH;1;m;1987 – 1996;96579;578;14851;20904;10100;15494;5186;20209;;9256;1683;1519
SH;1;m;1977 – 1986;107371;549;23770;27281;13607;10462;4101;17679;;9922;2686;2488
SH;1;m;1962 – 1976;245329;1772;66001;68443;24942;22852;6835;37377;;17108;4746;3984
SH;1;m;1952 – 1961;150261;1634;38538;52157;11096;10622;3944;24632;;7639;2138;1747
SH;1;m;1951 und früher;189819;2868;75673;65744;7620;13152;2630;18538;;3594;781;587
SH;1;w;Summe;920256;8037;237663;282870;42957;80175;28969;181035;;58549;14553;16567
SH;1;w;1997 – 2003;65832;349;7852;13255;1893;9861;4674;22686;;5263;1255;864
SH;1;w;1987 – 1996;99872;629;15001;26221;8045;10762;5318;25015;;8881;2287;1897
SH;1;w;1977 – 1986;121165;650;26874;32453;7574;11222;4495;25966;;11933;3261;3107
SH;1;w;1962 – 1976;255806;1541;61120;75089;13327;23409;8519;52590;;20211;4930;6486
SH;1;w;1952 – 1961;156623;1153;38228;55563;7067;11338;3926;31921;;7427;1745;2684
SH;1;w;1951 und früher;220958;3716;88588;80288;5052;13583;2038;22858;;4834;1075;1529
SH;2;Summe;Summe;1776145;13391;388399;494055;119566;220039;64238;322763;;153694;17043;23407
SH;2;Summe;1997 – 2003;132362;869;10852;22560;6159;28854;9898;35836;;17333;1445;797
SH;2;Summe;1987 – 1996;196451;1018;22828;37953;18400;31467;11134;45369;;28282;2764;2711
SH;2;Summe;1977 – 1986;228536;1010;39714;51481;22341;29227;9454;47511;;27798;3374;5044
SH;2;Summe;1962 – 1976;501135;2562;104108;137241;39830;59076;17059;93568;;47691;6067;8979
SH;2;Summe;1952 – 1961;306884;2197;66808;103351;18453;29883;10687;56146;;19358;2104;4232
SH;2;Summe;1951 und früher;410777;5735;144090;141469;14383;41532;6006;44332;;13231;1288;1643
SH;2;m;Summe;855889;6381;186734;229377;73995;118832;32040;139326;;69204;8171;8779
SH;2;m;1997 – 2003;66529;593;5550;11466;3653;17629;4253;14872;;8512;527;349
SH;2;m;1987 – 1996;96579;390;11268;17128;10723;18734;5871;19996;;12469;1155;929
SH;2;m;1977 – 1986;107371;414;17920;23417;13783;14787;4559;20032;;12458;1570;2390
SH;2;m;1962 – 1976;245329;1154;53882;64224;25932;31064;7755;40332;;20986;3108;3057
SH;2;m;1952 – 1961;150261;1307;32503;49395;11444;15210;5993;25324;;9086;1347;1651
SH;2;m;1951 und früher;189819;2523;65610;63747;8461;21407;3609;18770;;5693;463;403
SH;2;w;Summe;920256;7010;201665;264678;45571;101207;32198;183437;;84490;8872;14628
SH;2;w;1997 – 2003;65832;276;5302;11094;2506;11224;5644;20965;;8821;918;449
SH;2;w;1987 – 1996;99872;628;11560;20824;7678;12733;5263;25373;;15813;1609;1783
SH;2;w;1977 – 1986;121165;596;21794;28064;8558;14440;4895;27479;;15340;1804;2654
SH;2;w;1962 – 1976;255806;1408;50226;73017;13898;28012;9304;53236;;26705;2958;5922
SH;2;w;1952 – 1961;156623;890;34304;53956;7009;14673;4695;30823;;10273;757;2581
SH;2;w;1951 und früher;220958;3212;78480;77722;5923;20125;2398;25561;;7538;825;1240
HH;1;Summe;Summe;1011044;7720;179572;334831;49828;84603;72507;237328;;44655;6406;16396
HH;1;Summe;1997 – 2003;89379;573;8688;19201;3383;12900;10561;29178;;4895;278;1268
HH;1;Summe;1987 – 1996;192641;1051;19087;45274;5719;19120;20788;69829;;11772;1967;3084
HH;1;Summe;1977 – 1986;167583;999;22388;48109;10083;13198;12482;50765;;9558;1356;3794
HH;1;Summe;1962 – 1976;250177;1807;44481;87305;16819;18600;15987;52598;;12580;2262;4873
HH;1;Summe;1952 – 1961;130271;780;24555;56495;7407;9200;8345;20011;;3480;327;1921
HH;1;Summe;1951 und früher;180993;2511;60373;78447;6416;11585;4344;14946;;2370;215;1456
HH;1;m;Summe;481101;3720;85101;158639;30823;47440;33893;99706;;21779;3319;6529
HH;1;m;1997 – 2003;44532;234;4277;10023;2119;8828;4112;12040;;2899;231;773
HH;1;m;1987 – 1996;91419;582;9410;22854;3649;11401;9015;28076;;6433;1114;1357
HH;1;m;1977 – 1986;81779;611;11341;23018;6277;7260;6347;22181;;4746;803;1313
HH;1;m;1962 – 1976;124527;976;23460;43389;10742;10065;8062;22612;;5220;982;1908
HH;1;m;1952 – 1961;61883;523;10954;26896;4408;4626;4212;8723;;1540;174;727
HH;1;m;1951 und früher;76961;794;25658;32459;3628;5260;2145;6074;;942;16;452
HH;1;w;Summe;529943;4000;94471;176192;19005;37163;38614;137622;;22876;3087;9867
HH;1;w;1997 – 2003;44847;339;4411;9178;1265;4072;6449;17138;;1995;48;495
HH;1;w;1987 – 1996;101221;469;9677;22420;2070;7719;11774;41754;;5339;854;1727
HH;1;w;1977 – 1986;85804;388;11046;25091;3806;5939;6135;28585;;4813;553;2481
HH;1;w;1962 – 1976;125650;830;21020;43916;6077;8535;7925;29986;;7361;1280;2965
HH;1;w;1952 – 1961;68389;257;13601;29599;2999;4574;4132;11288;;1939;153;1194
HH;1;w;1951 und früher;104032;1717;34715;45988;2788;6325;2199;8872;;1428;199;1004
HH;2;Summe;Summe;1011044;5500;155220;298342;50537;114602;67578;250532;;68733;5601;13961
HH;2;Summe;1997 – 2003;89379;417;5487;14002;3472;17015;9626;29373;;9985;487;849
HH;2;Summe;1987 – 1996;192641;505;15065;35735;5399;24609;17976;73391;;19961;1689;2378
HH;2;Summe;1977 – 1986;167583;615;18174;40378;10762;17295;11012;54994;;14354;1399;3204
HH;2;Summe;1962 – 1976;250177;1208;38434;80305;16764;26545;15532;55743;;15647;1603;4393
HH;2;Summe;1952 – 1961;130271;806;22916;51897;7556;12081;8419;21744;;4853;131;1847
HH;2;Summe;1951 und früher;180993;1950;55144;76024;6584;17058;5013;15287;;3932;292;1290
HH;2;m;Summe;481101;2534;70372;135497;31574;67060;34904;108092;;31068;2876;5128
HH;2;m;1997 – 2003;44532;153;2668;6807;2107;11628;4173;11902;;5095;360;536
HH;2;m;1987 – 1996;91419;334;7217;16989;3714;14598;8773;30129;;9666;857;1025
HH;2;m;1977 – 1986;81779;360;8656;17768;6391;10486;5951;25334;;6833;871;961
HH;2;m;1962 – 1976;124527;544;19043;38797;11035;15696;8363;24577;;6473;745;1534
HH;2;m;1952 – 1961;61883;464;10072;23813;4614;6395;4705;10162;;1658;27;673
HH;2;m;1951 und früher;76961;679;22716;31323;3713;8258;2939;5988;;1344;15;400
HH;2;w;Summe;529943;2966;84848;162845;18963;47542;32674;142440;;37665;2725;8833
HH;2;w;1997 – 2003;44847;265;2819;7196;1365;5388;5453;17471;;4891;127;313
HH;2;w;1987 – 1996;101221;171;7848;18746;1685;10011;9203;43262;;10295;831;1353
HH;2;w;1977 – 1986;85804;254;9518;22610;4371;6809;5061;29660;;7521;528;2244
HH;2;w;1962 – 1976;125650;663;19391;41509;5728;10849;7169;31166;;9175;858;2859
HH;2;w;1952 – 1961;68389;342;12844;28084;2942;5685;3714;11582;;3195;104;1174
HH;2;w;1951 und früher;104032;1271;32428;44701;2871;8800;2074;9299;;2588;278;889
NI;1;Summe;Summe;4563142;44570;1323070;1603785;292032;347802;142785;646848;;162250;46688;53097
NI;1;Summe;1997 – 2003;352955;2648;61620;91685;14890;57905;24245;82284;;17678;3830;3735
NI;1;Summe;1987 – 1996;568713;4150;115624;163900;38211;61636;30103;122901;;32187;9609;7618
NI;1;Summe;1977 – 1986;598351;5573;154881;177066;58226;47961;23617;97894;;33135;9461;11797
NI;1;Summe;1962 – 1976;1252810;9882;348666;445780;100287;89580;34880;174964;;48772;14691;18126
NI;1;Summe;1952 – 1961;807735;7910;232116;333077;48477;44332;18551;105125;;18149;5491;6976
NI;1;Summe;1951 und früher;982576;14407;410164;392277;31942;46388;11390;63680;;12329;3605;4845
NI;1;m;Summe;2207010;15783;640238;765609;179374;188337;70871;275545;;71253;22393;22672
NI;1;m;1997 – 2003;173912;740;32682;44082;8705;35933;10412;33132;;8226;1995;1620
NI;1;m;1987 – 1996;283239;1990;58847;79401;22522;36855;15584;52020;;16020;5409;3554
NI;1;m;1977 – 1986;289724;1580;76812;82218;36117;25014;11322;42500;;14161;4201;4896
NI;1;m;1962 – 1976;616405;3565;178935;213438;63032;45184;17341;74160;;20750;6766;7478
NI;1;m;1952 – 1961;391551;3279;109898;162653;30320;22262;10323;45479;;7337;2377;3047
NI;1;m;1951 und früher;452178;4629;183063;183816;18679;23089;5889;28254;;4759;1645;2076
NI;1;w;Summe;2356132;28787;682832;838176;112658;159465;71914;371303;;90997;24295;30425
NI;1;w;1997 – 2003;179043;1908;28938;47603;6185;21972;13833;49152;;9452;1834;2115
NI;1;w;1987 – 1996;285474;2161;56777;84499;15689;24781;14519;70881;;16167;4200;4063
NI;1;w;1977 – 1986;308627;3993;78069;94847;22109;22947;12295;55394;;18974;5260;6901
NI;1;w;1962 – 1976;636406;6317;169731;232342;37255;44396;17539;100804;;28023;7925;10648
NI;1;w;1952 – 1961;416184;4630;122218;170424;18157;22070;8228;59646;;10811;3114;3928
NI;1;w;1951 und früher;530398;9779;227100;208461;13262;23299;5501;35427;;7570;1961;2769
NI;2;Summe;Summe;4563142;39921;1093579;1498500;336434;474638;148657;726613;;244800;37214;46369
NI;2;Summe;1997 – 2003;352955;2557;39296;70461;17377;72098;24947;88173;;38045;3049;2938
NI;2;Summe;1987 – 1996;568713;3044;83101;137743;45384;78875;28904;133860;;57801;6888;6058
NI;2;Summe;1977 – 1986;598351;3810;117830;155811;67459;66304;22153;116813;;48171;7494;10395
NI;2;Summe;1962 – 1976;1252810;7760;283757;429004;114398;121562;36044;197361;;62924;11888;15944
NI;2;Summe;1952 – 1961;807735;7385;196595;321830;55811;65286;23166;115471;;22192;4878;6454
NI;2;Summe;1951 und früher;982576;15365;372999;383650;36005;70513;13444;74935;;15667;3016;4581
NI;2;m;Summe;2207010;12870;519872;700417;209616;266093;77179;315417;;105547;16861;17873
NI;2;m;1997 – 2003;173912;651;19713;31832;10451;45626;11591;35423;;18624;1854;1056
NI;2;m;1987 – 1996;283239;1157;40805;63686;27990;49618;15723;56735;;27525;3113;2761
NI;2;m;1977 – 1986;289724;1052;57380;69660;41631;36432;11224;51570;;20775;3448;4007
NI;2;m;1962 – 1976;616405;2360;145006;204026;72642;64632;18361;84218;;25159;5148;5990
NI;2;m;1952 – 1961;391551;2856;92381;153875;35108;33941;12832;52973;;7585;2072;2416
NI;2;m;1951 und früher;452178;4793;164586;177338;21794;35844;7447;34497;;5879;1226;1644
NI;2;w;Summe;2356132;27051;573707;798083;126818;208545;71478;411196;;139253;20353;28496
NI;2;w;1997 – 2003;179043;1905;19583;38629;6927;26472;13355;52750;;19421;1195;1882
NI;2;w;1987 – 1996;285474;1887;42297;74057;17394;29257;13181;77124;;30277;3775;3297
NI;2;w;1977 – 1986;308627;2758;60449;86151;25828;29872;10929;65243;;27395;4046;6388
NI;2;w;1962 – 1976;636406;5401;138751;224978;41756;56930;17682;113143;;37765;6740;9954
NI;2;w;1952 – 1961;416184;4528;104214;167955;20703;31344;10334;62498;;14607;2806;4037
NI;2;w;1951 und früher;530398;10572;208412;206312;14211;34669;5996;40438;;9788;1790;2937
HB;1;Summe;Summe;330431;3374;67992;108432;21565;22398;25923;60490;;20257;3794;4103
HB;1;Summe;1997 – 2003;25019;144;2399;4617;1178;3679;3573;6864;;2567;252;228
HB;1;Summe;1987 – 1996;45646;402;5357;9466;2099;4835;5757;13334;;4396;651;627
HB;1;Summe;1977 – 1986;41839;507;7500;10358;3810;2647;3970;9590;;3456;456;852
HB;1;Summe;1962 – 1976;86073;928;17759;27220;7600;5332;5838;15072;;6325;1484;1445
HB;1;Summe;1952 – 1961;55863;548;11155;22237;4348;2403;4248;8865;;2059;576;578
HB;1;Summe;1951 und früher;75991;844;23822;34535;2530;3504;2538;6766;;1453;374;372
HB;1;m;Summe;157656;1621;32475;50861;13278;12114;12726;24693;;9889;1845;1715
HB;1;m;1997 – 2003;12350;90;1172;2117;707;2453;1418;2983;;1408;161;92
HB;1;m;1987 – 1996;22574;207;2760;4973;1284;2795;2965;5471;;2119;258;299
HB;1;m;1977 – 1986;20338;180;3749;4946;2283;1443;2137;3917;;1683;239;307
HB;1;m;1962 – 1976;42364;522;8903;13313;4835;2720;2914;6202;;2957;740;558
HB;1;m;1952 – 1961;26975;213;5688;10650;2720;1125;2011;3531;;1037;278;302
HB;1;m;1951 und früher;33055;409;10202;14862;1449;1579;1281;2589;;685;168;157
HB;1;w;Summe;172775;1753;35517;57571;8287;10284;13197;35797;;10368;1949;2387
HB;1;w;1997 – 2003;12670;54;1226;2500;471;1226;2154;3880;;1158;91;135
HB;1;w;1987 – 1996;23073;195;2597;4493;815;2039;2792;7864;;2277;394;328
HB;1;w;1977 – 1986;21501;327;3752;5412;1527;1204;1832;5673;;1773;216;544
HB;1;w;1962 – 1976;43708;406;8856;13907;2765;2612;2924;8870;;3369;743;888
HB;1;w;1952 – 1961;28888;335;5467;11586;1628;1278;2237;5334;;1023;298;277
HB;1;w;1951 und früher;42936;436;13619;19673;1081;1925;1257;4177;;768;207;215
HB;2;Summe;Summe;330431;2391;56499;103224;22575;30481;25352;68427;;21482;2911;3461
HB;2;Summe;1997 – 2003;25019;47;1798;3693;1250;4165;3382;7631;;3054;176;159
HB;2;Summe;1987 – 1996;45646;215;3865;8197;2460;5641;5446;15051;;4772;430;451
HB;2;Summe;1977 – 1986;41839;332;5822;9366;3724;3777;3825;11270;;3723;454;626
HB;2;Summe;1962 – 1976;86073;560;14294;26647;7866;7548;5514;17252;;6393;1168;1283
HB;2;Summe;1952 – 1961;55863;378;9677;21566;4654;3547;4235;9882;;1924;408;515
HB;2;Summe;1951 und früher;75991;859;21042;33755;2622;5803;2951;7342;;1617;275;427
HB;2;m;Summe;157656;964;26511;47491;14177;16413;13041;29056;;10002;1335;1409
HB;2;m;1997 – 2003;12350;38;829;1654;791;2654;1394;3412;;1577;88;65
HB;2;m;1987 – 1996;22574;58;1964;3997;1540;3405;2919;6444;;2248;123;248
HB;2;m;1977 – 1986;20338;55;2870;4517;2213;2071;2048;4786;;1777;242;241
HB;2;m;1962 – 1976;42364;385;6922;12513;5241;4038;2967;7546;;2753;554;440
HB;2;m;1952 – 1961;26975;128;4817;10273;2924;1762;2132;4098;;842;184;240
HB;2;m;1951 und früher;33055;300;9109;14536;1468;2484;1580;2771;;806;142;175
HB;2;w;Summe;172775;1427;29988;55733;8398;14068;12311;39371;;11480;1576;2052
HB;2;w;1997 – 2003;12670;9;970;2038;458;1511;1988;4219;;1477;88;95
HB;2;w;1987 – 1996;23073;157;1901;4199;920;2237;2527;8607;;2524;307;202
HB;2;w;1977 – 1986;21501;277;2952;4849;1511;1706;1777;6484;;1945;212;385
HB;2;w;1962 – 1976;43708;174;7372;14135;2625;3510;2547;9705;;3640;614;843
HB;2;w;1952 – 1961;28888;250;4861;11293;1730;1785;2103;5784;;1082;223;275
HB;2;w;1951 und früher;42936;559;11933;19219;1154;3318;1370;4571;;812;132;252
NW;1;Summe;Summe;9960984;92465;2973458;3068628;705020;851337;317869;1500696;;451511;97511;109356
NW;1;Summe;1997 – 2003;789205;4801;128286;172485;33526;132021;52650;206543;;58892;7975;7376
NW;1;Summe;1987 – 1996;1287745;9364;244023;312874;93779;155515;68055;302213;;101922;17886;17170
NW;1;Summe;1977 – 1986;1274065;7614;323596;319466;133618;123488;46257;235147;;84878;15941;22254
NW;1;Summe;1962 – 1976;2733306;22295;786046;846291;241348;218787;76955;413183;;128402;32687;39342
NW;1;Summe;1952 – 1961;1777011;18836;545285;661171;128511;107075;48397;217681;;50056;14910;14799
NW;1;Summe;1951 und früher;2099652;29554;946222;756342;74239;114451;25555;125928;;27361;8113;8415
NW;1;m;Summe;4811771;42103;1407497;1454496;435730;445398;154788;648147;;223612;48051;46455
NW;1;m;1997 – 2003;396603;2583;66356;82936;20621;85052;20689;86623;;31743;4468;3588
NW;1;m;1987 – 1996;649255;4363;124013;153656;58191;90538;32809;129522;;56162;8380;8156
NW;1;m;1977 – 1986;621713;3324;155806;148544;81943;63268;22473;103282;;43071;8215;10019
NW;1;m;1962 – 1976;1346033;10333;397526;405263;152794;105737;38259;176706;;59413;15937;15875
NW;1;m;1952 – 1961;868696;8663;259240;325008;78296;51498;26000;97320;;22672;7386;5908
NW;1;m;1951 und früher;929471;12837;404555;339089;43885;49304;14556;54694;;10551;3664;2909
NW;1;w;Summe;5149213;50362;1565961;1614132;269290;405939;163081;852549;;227899;49460;62901
NW;1;w;1997 – 2003;392602;2218;61930;89549;12905;46970;31961;119920;;27149;3506;3787
NW;1;w;1987 – 1996;638489;5001;120009;159218;35587;64976;35246;172691;;45760;9506;9015
NW;1;w;1977 – 1986;652352;4289;167789;170922;51675;60220;23784;131865;;41807;7725;12235
NW;1;w;1962 – 1976;1387273;11962;388520;441028;88554;113050;38695;236477;;68988;16750;23467
NW;1;w;1952 – 1961;908315;10174;286045;336163;50215;55577;22397;120361;;27384;7524;8890
NW;1;w;1951 und früher;1170182;16717;541668;417252;30354;65147;10999;71235;;16810;4449;5506
NW;2;Summe;Summe;9960984;72954;2566719;2880226;717510;1130154;366947;1587067;;639407;64990;99217
NW;2;Summe;1997 – 2003;789205;3739;88445;136324;35483;159048;54961;208571;;102635;5585;6265
NW;2;Summe;1987 – 1996;1287745;8155;184537;249781;93822;194619;76925;318537;;161368;11009;15056
NW;2;Summe;1977 – 1986;1274065;5787;261350;277446;133968;159764;51759;262523;;121469;11329;20508
NW;2;Summe;1962 – 1976;2733306;17455;673861;819110;244170;297665;88894;430433;;161718;20597;36119
NW;2;Summe;1952 – 1961;1777011;14205;484801;644950;132293;151695;60361;231028;;57677;9583;13806
NW;2;Summe;1951 und früher;2099652;23612;873725;752615;77774;167364;34047;135975;;34540;6887;7464
NW;2;m;Summe;4811771;32806;1189723;1341358;447270;617863;189678;708261;;284811;32788;40422
NW;2;m;1997 – 2003;396603;1955;44697;63104;22065;105511;22368;87848;;49054;2948;2957
NW;2;m;1987 – 1996;649255;3927;92872;117949;57699;117062;40852;140113;;78782;5974;6838
NW;2;m;1977 – 1986;621713;2288;123894;125064;83317;87960;27209;117268;;54711;6037;8426
NW;2;m;1962 – 1976;1346033;7733;334142;385712;155311;153911;46284;195638;;67302;10126;14406
NW;2;m;1952 – 1961;868696;6555;227267;313641;81648;76473;33628;106377;;23107;4598;5462
NW;2;m;1951 und früher;929471;10348;366851;335888;47229;76945;19337;61018;;11854;3105;2333
NW;2;w;Summe;5149213;40148;1376996;1538868;270240;512291;177269;878806;;354596;32202;58795
NW;2;w;1997 – 2003;392602;1784;43748;73220;13417;53537;32592;120723;;53580;2637;3308
NW;2;w;1987 – 1996;638489;4228;91665;131832;36123;77557;36073;178425;;82586;5035;8218
NW;2;w;1977 – 1986;652352;3499;137456;152382;50651;71804;24550;145255;;66758;5292;12083
NW;2;w;1962 – 1976;1387273;9722;339719;433398;88859;143754;42610;234795;;94416;10472;21712
NW;2;w;1952 – 1961;908315;7651;257534;331309;50646;75221;26733;124651;;34570;4984;8344
NW;2;w;1951 und früher;1170182;13264;506874;416727;30545;90419;14710;74957;;22686;3783;5131
HE;1;Summe;Summe;3340639;44706;909147;1000129;285337;315712;130457;480535;;174616;77360;48081
HE;1;Summe;1997 – 2003;257221;2377;37401;57759;12066;47166;19462;60994;;19996;7941;2948
