# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;
# ;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;
# Zeitreihe seit 1953: Wahlberechtigte ohne und mit Wahlschein, Wählende und Wahlbeteiligung nach Geschlecht und Altersgruppen;;;;;;;
# ;;;;;;;
# 1953: Bundesergebnis ohne Rheinland-Pfalz und Bayern.;;;;;;;
# 1953 und 1957: Keine hochgerechneten Ergebnisse.;;;;;;;
# 1957 bis 1990: Keine kalibrierten Ergebnisse, daher geringfügige Abweichungen zum amtlichen Endergebnis. Anzahl der Wählenden nur ohne Wahlschein.;;;;;;;
# 1994 und 1998 wurde die repräsentative Wahlstatistik durch den Gesetzgeber ausgesetzt.;;;;;;;
# 2002 bis 2013: Anzahl der Wählenden nicht kalibriert, daher geringfügige Abweichungen zum amtlichen Endergebnis.;;;;;;;
# 2002 bis 2013: Gegenüber den damaligen Veröffentlichungen Anzahl der Wählenden nachträglich um den Anteil aller Wahlscheininhaberinnen und -inhabern bereinigt, die nicht an der Wahl teilgenommen haben.;;;;;;;
# Ab 2021: Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;
# Bei der repräsentativen Wahlstatistik werden Geburtsjahresgruppen erhoben, daher sind die Altersgruppen nicht exakt abgegrenzt.;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;
# ;;;;;;;
Bundestagswahl;Geschlecht;Altersgruppe etwa von ... bis ... Jahren;Wahlberechtigte;Wahlberechtigte ohne Wahlscheinvermerk;Wahlberechtigte mit Wahlscheinvermerk;Wählende;Wahlbeteiligung
1972;m;>=70;1813900;1605100;208800;1447300;90,2
1972;w;Summe;22520100;20770700;1749400;18743200;90,2
1972;w;18-20;1090800;1017000;73700;857200;84,3
1972;w;21-24;1440700;1317800;122900;1119500;85,0
1972;w;25-29;1599100;1483000;116100;1316700;88,8
1972;w;30-34;2171400;2058100;113300;1878500;91,3
1972;w;35-39;1984000;1902000;82000;1756200;92,3
1972;w;40-44;1777100;1704300;72800;1581000;92,8
1972;w;45-49;1955000;1857700;97400;1737300;93,5
1972;w;50-59;3472600;3261700;210900;3042400;93,3
1972;w;60-69;3816400;3523900;292500;3250600;92,2
1972;w;>=70;3213100;2645300;567900;2203800;83,3
1976;Summe;Summe;42198800;37688200;4510600;34064200;90,4
1976;Summe;18-20;2273800;2089500;184300;1756300;84,1
1976;Summe;21-24;2985100;2662700;322300;2208200;82,9
1976;Summe;25-29;3697900;3307700;390200;2862000;86,5
1976;Summe;30-34;3379200;3051100;328200;2722500;89,2
1976;Summe;35-39;4638000;4248800;389200;3886800;91,5
1976;Summe;40-44;3783200;3500700;282500;3245300;92,7
1976;Summe;45-49;3610300;3333200;277100;3118700;93,6
1976;Summe;50-59;6179900;5577300;602600;5230500;93,8
1976;Summe;60-69;6067300;5377600;689700;5039800;93,7
1976;Summe;>=70;5584100;4539600;1044600;3994100;88,0
1976;m;Summe;19261900;17376100;1885800;15779500;90,8
1976;m;18-20;1142600;1054600;88100;895100;84,9
1976;m;21-24;1504600;1354800;149800;1123800;82,9
1976;m;25-29;1858100;1659200;198800;1431700;86,3
1976;m;30-34;1698400;1526100;172300;1355100;88,8
1976;m;35-39;2357500;2158200;199300;1963200;91,0
1976;m;40-44;1898500;1755400;143200;1629100;92,8
1976;m;45-49;1794100;1658500;135600;1556800;93,9
1976;m;50-59;2580600;2342800;237800;2220900;94,8
1976;m;60-69;2420300;2158100;262300;2045500;94,8
1976;m;>=70;2007200;1708400;298700;1558400;91,2
1976;w;Summe;22937000;20312100;2624800;18284600;90,0
1976;w;18-20;1131200;1034900;96300;861200;83,2
1976;w;21-24;1480400;1308000;172500;1084300;82,9
1976;w;25-29;1839800;1648500;191400;1430300;86,8
1976;w;30-34;1680900;1525000;155900;1367400;89,7
1976;w;35-39;2280500;2090600;189900;1923600;92,0
1976;w;40-44;1884700;1745300;139300;1616300;92,6
1976;w;45-49;1816200;1674700;141500;1561900;93,3
1976;w;50-59;3599300;3234500;364800;3009600;93,0
1976;w;60-69;3647000;3219500;427500;2994400;93,0
1976;w;>=70;3577000;2831100;745800;2435700;86,0
1980;Summe;Summe;43227100;37946600;5280500;33256800;87,6
1980;Summe;18-20;2579500;2341800;237800;1883600;80,4
1980;Summe;21-24;3332300;2932000;400300;2314000;78,9
1980;Summe;25-29;3708100;3257700;450400;2678400;82,2
1980;Summe;30-34;3497900;3130000;368000;2698000;86,2
1980;Summe;35-39;3576400;3229700;346700;2862900;88,6
1980;Summe;40-44;4492100;4076700;415500;3682700;90,3
1980;Summe;45-49;3582300;3250600;331700;2963500;91,2
1980;Summe;50-59;6871000;6069400;801700;5600000;92,3
1980;Summe;60-69;5291000;4555400;735500;4198000;92,2
1980;Summe;>=70;6296300;5103300;1193000;4375700;85,7
1980;m;Summe;19842400;17568700;2273600;15501200;88,2
1980;m;18-20;1307000;1183600;123400;966000;81,6
1980;m;21-24;1689200;1495000;194100;1193100;79,8
1980;m;25-29;1869400;1641900;227400;1344400;81,9
1980;m;30-34;1774800;1582200;192600;1357000;85,8
1980;m;35-39;1803900;1622300;181700;1429300;88,1
1980;m;40-44;2266000;2056900;209100;1857400;90,3
1980;m;45-49;1795800;1631500;164200;1493700;91,6
1980;m;50-59;3092400;2749400;343000;2560200;93,1
1980;m;60-69;2062200;1778700;283500;1663900;93,5
1980;m;>=70;2181700;1827100;354600;1636300;89,6
1980;w;Summe;23384700;20377900;3006900;17755600;87,1
1980;w;18-20;1272500;1158200;114400;917600;79,2
1980;w;21-24;1643200;1437000;206200;1120900;78,0
1980;w;25-29;1838800;1615800;223000;1334000;82,6
1980;w;30-34;1723100;1547800;175300;1341000;86,6
1980;w;35-39;1772500;1607400;165100;1433700;89,2
1980;w;40-44;2226100;2019800;206400;1825300;90,4
1980;w;45-49;1786500;1619100;167400;1469800;90,8
1980;w;50-59;3778600;3319900;458700;3039800;91,6
1980;w;60-69;3228800;2776700;452100;2534100;91,3
1980;w;>=70;4114600;3276200;838400;2739400;83,6
1983;Summe;Summe;44084500;39694700;4389800;35093200;88,4
1983;Summe;18-20;2178700;2052900;125800;1730900;84,3
1983;Summe;21-24;3641400;3276200;365200;2668700;81,5
1983;Summe;25-29;3977700;3545800;431900;2971000;83,8
1983;Summe;30-34;3701700;3371100;330600;2932500;87,0
1983;Summe;35-39;3251300;2991600;259700;2672300;89,3
1983;Summe;40-44;4201900;3887700;314200;3540200;91,1
1983;Summe;45-49;4174500;3873500;301000;3569800;92,2
1983;Summe;50-59;6702000;6152500;549500;5702200;92,7
1983;Summe;60-69;5337000;4788400;548600;4419800;92,3
1983;Summe;>=70;6918000;5754900;1163100;4885800;84,9
1983;m;Summe;20364100;18493500;1870600;16474800;89,1
1983;m;18-20;1111700;1054600;57100;900300;85,4
1983;m;21-24;1842000;1668500;173500;1372100;82,2
1983;m;25-29;2019000;1800800;218200;1510500;83,9
1983;m;30-34;1878100;1703400;174700;1475600;86,6
1983;m;35-39;1649500;1511600;137900;1345200;89,0
1983;m;40-44;2132200;1967600;164600;1786800;90,8
1983;m;45-49;2097000;1947100;149900;1796600;92,3
1983;m;50-59;3188800;2933900;254900;2734800;93,2
1983;m;60-69;2076500;1871200;205300;1751500;93,6
1983;m;>=70;2369200;2034800;334400;1801700;88,5
1983;w;Summe;23720400;21201200;2519200;18618300;87,8
1983;w;18-20;1067100;998400;68700;830600;83,2
1983;w;21-24;1799400;1607700;191700;1296600;80,6
1983;w;25-29;1958700;1745000;213700;1460500;83,7
1983;w;30-34;1823600;1667700;155900;1457000;87,4
1983;w;35-39;1601700;1480000;121700;1327100;89,7
1983;w;40-44;2069700;1920100;149600;1753400;91,3
1983;w;45-49;2077500;1926400;151100;1773200;92,0
1983;w;50-59;3513200;3218600;294600;2967400;92,2
1983;w;60-69;3260500;2917100;343400;2668400;91,5
1983;w;>=70;4548800;3720100;828700;3084100;82,9
1987;Summe;Summe;45325500;40815900;4509600;33922700;83,1
1987;Summe;18-20;1975500;1864500;111000;1431100;76,8
1987;Summe;21-24;3879700;3529700;350000;2579100;73,1
1987;Summe;25-29;4479700;4048500;431200;3073100;75,9
1987;Summe;30-34;3853000;3525800;327200;2829800;80,3
1987;Summe;35-39;3638100;3373700;264400;2827100;83,8
1987;Summe;40-44;3246500;3003700;242800;2584100;86,0
1987;Summe;45-49;4365600;4040800;324800;3552100;87,9
1987;Summe;50-59;7193300;6632400;560900;5926700;89,4
1987;Summe;60-69;5946300;5314200;632100;4766500;89,7
1987;Summe;>=70;6747600;5482500;1265100;4353000;79,4
1987;m;Summe;21108000;19181000;1927000;16152300;84,2
1987;m;18-20;994600;942700;51900;743800;78,9
1987;m;21-24;1966000;1796200;169800;1336900;74,4
1987;m;25-29;2277300;2060100;217200;1577200;76,6
1987;m;30-34;1970800;1799400;171400;1443600;80,2
1987;m;35-39;1847000;1705700;141300;1427600;83,7
1987;m;40-44;1635000;1508300;126700;1294100;85,8
1987;m;45-49;2204300;2040200;164100;1794600;88,0
1987;m;50-59;3564400;3293300;271100;2962700;90,0
1987;m;60-69;2412000;2171300;240700;1986600;91,5
1987;m;>=70;2236500;1863700;372800;1585300;85,1
1987;w;Summe;24217500;21634900;2582600;17770300;82,1
1987;w;18-20;980800;921700;59100;687300;74,6
1987;w;21-24;1913700;1733500;180200;1242300;71,7
1987;w;25-29;2202300;1988300;214000;1495900;75,2
1987;w;30-34;1882200;1726400;155800;1386300;80,3
1987;w;35-39;1791100;1668000;123100;1399500;83,9
1987;w;40-44;1611400;1495400;116000;1290000;86,3
1987;w;45-49;2161400;2000600;160800;1757500;87,8
1987;w;50-59;3628900;3339100;289800;2964100;88,8
1987;w;60-69;3534400;3143000;391400;2780000;88,5
1987;w;>=70;4511100;3618800;892300;2767700;76,5
1990;Summe;Summe;60434300;55675600;4758700;42473800;76,3
1990;Summe;18-20;2718500;2587200;131300;1674500;64,7
1990;Summe;21-24;4770000;4420400;349600;2732100;61,8
1990;Summe;25-29;6396700;5926700;470000;3932300;66,3
1990;Summe;30-34;5695500;5334200;361300;3805100;71,3
1990;Summe;35-39;5073300;4781300;292000;3621100;75,7
1990;Summe;40-44;4545800;4264200;281600;3391000;79,5
1990;Summe;45-49;4775600;4458900;316700;3662100;82,1
1990;Summe;50-59;10239000;9552000;687000;8078500;84,6
1990;Summe;60-69;8077300;7380800;696500;6387400;86,5
1990;Summe;>=70;8142400;6969900;1172500;5190000;74,5
1990;m;Summe;28269800;26228600;2041200;20191800;77,0
1990;m;18-20;1373100;1313400;59700;871300;66,3
1990;m;21-24;2417500;2251700;165800;1422700;63,2
1990;m;25-29;3263700;3026400;237300;2007500;66,3
1990;m;30-34;2920600;2735300;185300;1932200;70,6
1990;m;35-39;2579100;2428800;150300;1825300;75,2
1990;m;40-44;2296100;2151700;144400;1706100;79,3
1990;m;45-49;2398100;2241500;156600;1842800;82,2
1990;m;50-59;5062000;4735400;326600;4023100;85,0
1990;m;60-69;3406300;3125300;281000;2757100;88,2
1990;m;>=70;2553300;2219100;334200;1803700;81,3
1990;w;Summe;32164500;29447000;2717500;22281900;75,7
1990;w;18-20;1345500;1273800;71700;803200;63,1
1990;w;21-24;2352500;2168700;183800;1309400;60,4
1990;w;25-29;3133100;2900300;232800;1924800;66,4
1990;w;30-34;2774900;2598900;176000;1872800;72,1
1990;w;35-39;2494200;2352500;141700;1795700;76,3
1990;w;40-44;2249700;2112500;137200;1684900;79,8
1990;w;45-49;2377500;2217400;160100;1819300;82,0
1990;w;50-59;5177000;4816600;360400;4055400;84,2
1990;w;60-69;4670900;4255400;415500;3630200;85,3
1990;w;>=70;5589200;4750900;838300;3386300;71,3
2002;Summe;Summe;61432868;52275090;9157778;48581969;79,1
2002;Summe;18-20;2325992;2124659;201333;1625671;69,9
2002;Summe;21-24;3329686;2912580;417106;2253430;67,7
2002;Summe;25-29;3842540;3301894;540646;2751243;71,6
2002;Summe;30-34;5145271;4471099;674172;3920698;76,2
2002;Summe;35-39;6467434;5731733;735701;5119396;79,2
2002;Summe;40-44;6185120;5523822;661298;4925446;79,6
2002;Summe;45-49;5406835;4755984;650851;4358531;80,6
2002;Summe;50-59;9042546;7594859;1447687;7539802;83,4
2002;Summe;60-69;9944075;8113769;1830307;8519548;85,7
2002;Summe;>=70;9743369;7744691;1998678;7568204;77,7
2002;m;Summe;29292719;25177679;4115040;23253063;79,4
2002;m;18-20;1188448;1099091;89357;832298;70,0
2002;m;21-24;1688908;1509133;179775;1138550;67,4
2002;m;25-29;1943564;1690162;253402;1379472;71,0
2002;m;30-34;2614810;2279139;335672;1959708;74,9
2002;m;35-39;3291798;2917970;373827;2572384;78,1
2002;m;40-44;3138427;2809382;329045;2471454;78,7
2002;m;45-49;2704612;2398395;306217;2163731;80,0
2002;m;50-59;4490616;3814212;676404;3730162;83,1
2002;m;60-69;4760443;3893089;867354;4102739;86,2
2002;m;>=70;3471094;2767106;703988;2902564;83,6
2002;w;Summe;32140149;27097411;5042738;25328906;78,8
2002;w;18-20;1137545;1025568;111976;793373;69,7
2002;w;21-24;1640778;1403447;237331;1114880;67,9
2002;w;25-29;1898976;1611732;287244;1371771;72,2
2002;w;30-34;2530460;2191960;338500;1960990;77,5
2002;w;35-39;3175636;2813762;361874;2547012;80,2
2002;w;40-44;3046693;2714440;332254;2453991;80,5
2002;w;45-49;2702222;2357588;344634;2194800;81,2
2002;w;50-59;4551930;3780648;771283;3809640;83,7
2002;w;60-69;5183633;4220680;962953;4416809;85,2
2002;w;>=70;6272275;4977585;1294690;4665640;74,4
2005;Summe;Summe;61870711;52465242;9405469;48044828;77,7
2005;Summe;18-20;2385446;2184638;200808;1660868;69,6
2005;Summe;21-24;3439319;3009587;429732;2269407;66,0
2005;Summe;25-29;4109970;3536332;573638;2856752;69,5
2005;Summe;30-34;4103745;3569962;533782;3033783;73,9
2005;Summe;35-39;5830342;5136295;694047;4543244;77,9
2005;Summe;40-44;6515238;5791050;724187;5162949;79,2
2005;Summe;45-49;5842559;5123404;719155;4654278;79,7
2005;Summe;50-59;9597073;8055480;1541593;7852086;81,8
2005;Summe;60-69;9660333;7759316;1901017;8136140;84,2
2005;Summe;>=70;10386686;8299177;2087510;7875322;75,8
2005;m;Summe;29622291;25354221;4268071;23077627;77,9
2005;m;18-20;1223248;1134008;89240;856210;70,0
2005;m;21-24;1745617;1560761;184855;1145865;65,6
2005;m;25-29;2084183;1812622;271562;1426580;68,4
2005;m;30-34;2082544;1816908;265636;1511194;72,6
2005;m;35-39;2965430;2612555;352875;2268788;76,5
2005;m;40-44;3309229;2943555;365674;2592690;78,3
2005;m;45-49;2947277;2604653;342624;2316333;78,6
2005;m;50-59;4770112;4047887;722226;3875002;81,2
2005;m;60-69;4614107;3721924;892183;3908932;84,7
2005;m;>=70;3880544;3099348;781196;3176033;81,8
2005;w;Summe;32248420;27111021;5137398;24967201;77,4
2005;w;18-20;1162198;1050630;111568;804658;69,2
2005;w;21-24;1693703;1448826;244876;1123542;66,3
2005;w;25-29;2025786;1723710;302076;1430172;70,6
2005;w;30-34;2021201;1753055;268146;1522588;75,3
2005;w;35-39;2864912;2523740;341172;2274456;79,4
2005;w;40-44;3206009;2847496;358513;2570259;80,2
2005;w;45-49;2895282;2518751;376531;2337945;80,8
2005;w;50-59;4826961;4007594;819367;3977083;82,4
2005;w;60-69;5046226;4037392;1008834;4227209;83,8
2005;w;>=70;6506142;5199829;1306314;4699289;72,2
2009;Summe;Summe;62168487;52313179;9855308;44006034;70,8
2009;Summe;18-20;2380273;2129926;250347;1488568;62,5
2009;Summe;21-24;3526609;3049021;477588;2066106;58,6
2009;Summe;25-29;4309550;3701228;608322;2611787;60,6
2009;Summe;30-34;3939192;3406689;532503;2542426;64,5
2009;Summe;35-39;4432265;3891767;540498;3033945;68,5
2009;Summe;40-44;6138010;5380181;757829;4411303;71,9
2009;Summe;45-49;6459650;5609334;850316;4692448;72,6
2009;Summe;50-59;10599030;8918545;1680485;7858287;74,1
2009;Summe;60-69;8635712;6863908;1771804;6839815;79,2
2009;Summe;>=70;11748196;9362580;2385616;8461349;72,0
2009;m;Summe;29879631;25367270;4512361;21280980;71,2
2009;m;18-20;1217231;1104756;112475;764582;62,8
2009;m;21-24;1782047;1567771;214276;1049588;58,9
2009;m;25-29;2179364;1895374;283990;1303915;59,8
2009;m;30-34;2001087;1736673;264414;1275185;63,7
2009;m;35-39;2244356;1970173;274183;1514471;67,5
2009;m;40-44;3104894;2732165;372729;2207061;71,1
2009;m;45-49;3254456;2850932;403524;2346056;72,1
2009;m;50-59;5262294;4478016;784278;3880721;73,7
2009;m;60-69;4149318;3310634;838684;3302427;79,6
2009;m;>=70;4684584;3720776;963808;3636973;77,6
2009;w;Summe;32288856;26945909;5342947;22725054;70,4
2009;w;18-20;1163042;1025170;137872;723986;62,2
2009;w;21-24;1744562;1481250;263312;1016518;58,3
2009;w;25-29;2130186;1805854;324332;1307871;61,4
2009;w;30-34;1938105;1670016;268089;1267241;65,4
2009;w;35-39;2187909;1921594;266315;1519474;69,4
2009;w;40-44;3033116;2648016;385100;2204242;72,7
2009;w;45-49;3205194;2758402;446792;2346392;73,2
2009;w;50-59;5336736;4440529;896207;3977567;74,5
2009;w;60-69;4486394;3553274;933120;3537388;78,8
2009;w;>=70;7063612;5641804;1421808;4824376;68,3
